M130005566,東京都台東区浅草１－１５－１　菊水ビル2F,
M130010371,東京都台東区浅草１－２２－３浅草大東ビル3F,03-5341-4555
M130001795,東京都台東区浅草１－３４－１０福井ビル3F,03-4405-4428
M130008942,東京都台東区浅草１－３４－１０福井ビル4F,03-4405-4428
M130011543,東京都台東区浅草１－３７－５ルミノール浅草雷門202,
M130011542,東京都台東区浅草１－３７－５ルミノール浅草雷門303,
M130011538,東京都台東区浅草１－３７－５ルミノール浅草雷門501,
M130011539,東京都台東区浅草１－３７－５ルミノール浅草雷門502,
M130011541,東京都台東区浅草１－３７－５ルミノール浅草雷門503,
M130003098,東京都台東区浅草２－１９－５イントラビル3F,047-712-1220
M130003103,東京都台東区浅草２－１９－５イントラビル4F,047-712-1220
M130003104,東京都台東区浅草２－１９－５イントラビル5F,047-712-1220
M130003105,東京都台東区浅草２－１９－５イントラビル6F,047-712-1220
M130003106,東京都台東区浅草２－１９－５イントラビル7F、8F,047-712-1220
M130002862,東京都台東区浅草３－４－９アコルデ浅草402,
M130002863,東京都台東区浅草３－４－９アコルデ浅草501,
M130002864,東京都台東区浅草３－４－９アコルデ浅草601,
M130008676,東京都台東区浅草３－５－４佐々木ビル2F、3F,
M130005772,東京都台東区浅草３－１８－１０　201,
M130000567,東京都台東区浅草３－２８－１０,
M130000838,東京都台東区浅草３－４０－１２,
M130009524,東京都台東区浅草４－１－１１ＡＫビル302,03-6273-9301
M130009453,東京都台東区浅草４－１－１１ＡＫビル303,
M130009018,東京都台東区浅草４－１－１１ＡＫビル501,03-6233-9770
M130009772,東京都台東区浅草４－１－１１ＡＫビル502,03-6233-9770
M130009024,東京都台東区浅草４－１－１１ＡＫビル503,03-6233-9770
M130004246,東京都台東区浅草４－１－１１ＡＫビル603,
M130000059,東京都台東区浅草４－８－３,
M130007770,東京都台東区浅草４－９－４,
M130010447,東京都台東区浅草４－１５－６早川ビル201,
M130004270,東京都台東区浅草４－２３－７　浅草三基ビル2F,
M130010142,東京都台東区浅草４－２８－１２松井ビル201,03-6661-7734
M130010143,東京都台東区浅草４－２８－１２松井ビル301,03-6661-7734
M130010617,東京都台東区浅草５－２－２,03-3346-1830
M130000244,東京都台東区浅草５－２０－３メゾン・ド・ヴァレー402,
M130006721,東京都台東区浅草５－２９－２　2F,
M130004586,東京都台東区浅草５－３９－９　1F、2F,
M130007255,東京都台東区浅草５－４６－９三浦商事ビル2F,
M130007256,東京都台東区浅草５－４６－９三浦商事ビル3F,
M130007257,東京都台東区浅草５－４６－９三浦商事ビル4F,
M130003149,東京都台東区浅草５－５８－３テラス浅草702,03-6804-4733
M130001559,東京都台東区浅草５―６３－３武藤ビル2F,03-6873-9851
M130001561,東京都台東区浅草５－６３－３武藤ビル3F,03-6873-9851
M130001565,東京都台東区浅草５－６３－３武藤ビル4F,03-6873-9851
