'','',0,0,'',''
相老,あいおい,10,509,東武桐生線,わたらせ渓谷鐵道わたらせ渓谷線
相生,あいおい,21,,長良川鉄道越美南線,
相生,あいおい,28,1327,ＪＲ西日本　山陽新幹線,ＪＲ西日本　山陽本線
相賀,あいが,24,,ＪＲ東海　紀勢本線,
愛冠,あいかっぷ,1,,北海道ちほく高原鉄道ふるさと銀河線,
秋鹿町,あいかまち,32,1448,一畑電気鉄道北松江線,
合川,あいかわ,5,,秋田内陸縦貫鉄道秋田内陸線,
相川,あいかわ,27,1247,阪急京都本線,
愛甲石田,あいこういしだ,14,775,小田急小田原線,
愛山,あいざん,1,,ＪＲ北海道　石北本線,
愛大医学部南口,あいだいいがくぶみなみぐち,38,,伊予鉄道横河原線,
愛知御津,あいちみと,23,,ＪＲ東海　東海道本線,
会津荒海,あいづあらかい,7,,会津鉄道会津線,
会津大塩,あいづおおしお,7,,ＪＲ東日本　只見線,
会津蒲生,あいづがもう,7,,ＪＲ東日本　只見線,
会津川口,あいづかわぐち,7,,ＪＲ東日本　只見線,
相月,あいづき,22,,ＪＲ東海　飯田線,
会津高原,あいづこうげん,7,,会津鉄道会津線,野岩鉄道会津鬼怒川線
会津越川,あいづこすがわ,7,,ＪＲ東日本　只見線,
会津坂本,あいづさかもと,7,,ＪＲ東日本　只見線,
会津山村道場,あいづさんそんどうじょう,7,,会津鉄道会津線,
会津塩沢,あいづしおざわ,7,,ＪＲ東日本　只見線,
会津下郷,あいづしもごう,7,,会津鉄道会津線,
会津高田,あいづたかだ,7,,ＪＲ東日本　只見線,
会津田島,あいづたじま,7,,会津鉄道会津線,
会津豊川,あいづとよかわ,7,381,ＪＲ東日本　磐越西線,
会津中川,あいづなかがわ,7,,ＪＲ東日本　只見線,
会津長野,あいづながの,7,,会津鉄道会津線,
会津西方,あいづにしかた,7,,ＪＲ東日本　只見線,
会津坂下,あいづばんげ,7,,ＪＲ東日本　只見線,
会津桧原,あいづひのはら,7,,ＪＲ東日本　只見線,
会津本郷,あいづほんごう,7,,ＪＲ東日本　只見線,
逢妻,あいづま,23,1104,ＪＲ東海　東海道本線,
会津水沼,あいづみずぬま,7,,ＪＲ東日本　只見線,
会津宮下,あいづみやした,7,,ＪＲ東日本　只見線,
会津柳津,あいづやないづ,7,,ＪＲ東日本　只見線,
会津横田,あいづよこた,7,,ＪＲ東日本　只見線,
会津若松,あいづわかまつ,7,376,ＪＲ東日本　磐越西線,ＪＲ東日本　只見線
藍那,あいな,28,1317,神戸電鉄粟生線,
愛野,あいの,22,1058,ＪＲ東海　東海道本線,
相野,あいの,28,1337,ＪＲ西日本　福知山線,
愛野,あいの,42,,島原鉄道,
相浦,あいのうら,42,1743,松浦鉄道西九州線,
相ノ木,あいのき,16,,富山地方鉄道本線,
あいの里教育大,あいのさときょういくだい,1,2,ＪＲ北海道　札沼線,
あいの里公園,あいのさとこうえん,1,2,ＪＲ北海道　札沼線,
相内,あいのない,1,17,ＪＲ北海道　石北本線,
相野々,あいのの,5,,ＪＲ東日本　北上線,
相羽,あいば,21,,＃名鉄揖斐線,
相原,あいはら,13,707,ＪＲ東日本　横浜線,
愛別,あいべつ,1,,ＪＲ北海道　石北本線,
愛本,あいもと,16,,富山地方鉄道本線,
藍本,あいもと,28,1337,ＪＲ西日本　福知山線,
姶良,あいら,46,,ＪＲ九州　日豊本線,
アイランド北口,あいらんどきたぐち,28,1311,神戸新交通六甲アイランド線,
アイランドセンター,あいらんどせんたー,28,1311,神戸新交通六甲アイランド線,
粟生,あお,28,1336,ＪＲ西日本　加古川線,神戸電鉄粟生線
青井岳,あおいだけ,45,,ＪＲ九州　日豊本線,
粟生津,あおうづ,15,,ＪＲ東日本　越後線,
青倉,あおくら,28,,ＪＲ西日本　播但線,
青笹,あおざさ,3,242,ＪＲ東日本　釜石線,
青島,あおしま,45,1827,ＪＲ九州　日南線,
青塚,あおつか,23,1102,名鉄津島線,
青砥,あおと,13,697,京成本線,京成押上線
青沼,あおぬま,20,,ＪＲ東日本　小海線,
青野ヶ原,あおのがはら,28,1336,ＪＲ西日本　加古川線,
青郷,あおのごう,18,,ＪＲ西日本　小浜線,
青野山,あおのやま,32,,ＪＲ西日本　山口線,
青葉,あおば,1,22,ＪＲ北海道　室蘭本線,
青葉台,あおばだい,14,754,東急田園都市線,
あおば通,あおばどおり,4,272,ＪＲ東日本　仙石線,
青原,あおはら,32,,ＪＲ西日本　山口線,
青部,あおべ,22,,大井川鐵道大井川本線,
青海,あおみ,13,683,ゆりかもめ東京臨海新交通臨海線,
青堀,あおほり,12,645,ＪＲ東日本　内房線,
青物横丁,あおものよこちょう,13,684,京急本線,
青森,あおもり,2,195,ＪＲ東日本　東北本線,ＪＲ東日本　奥羽本線
青谷,あおや,31,,ＪＲ西日本　山陰本線,
青柳,あおやぎ,20,927,ＪＲ東日本　中央本線,
青柳町,あおやぎちょう,1,11,＃函館市営[宝来・谷地頭線],
青山,あおやま,15,796,ＪＲ東日本　越後線,
青山一丁目,あおやまいっちょうめ,13,678,営団銀座線,営団半蔵門線
青山町,あおやまちょう,24,,近鉄大阪線,
赤井,あかい,7,378,ＪＲ東日本　磐越東線,
赤井川,あかいがわ,1,,ＪＲ北海道　函館本線,
赤池,あかいけ,21,,長良川鉄道越美南線,
赤池,あかいけ,23,1123,名鉄豊田線,名古屋市営鶴舞線
赤池,あかいけ,40,,平成筑豊鉄道伊田線,
赤岩,あかいわ,7,375,ＪＲ東日本　奥羽本線,
赤岩口,あかいわぐち,23,1095,＃豊橋鉄道東田本線,
